k,strategy,mean,std
1,random,1.0,0.0
2,random,0.9634067838573905,0.018310590167254333
3,random,0.8598663035404803,0.038111686643460665
4,random,0.7304778410497648,0.05607713861610439
5,random,0.5832879425600396,0.19071703428935974
6,random,0.2145580589254766,0.24301598491030746
7,random,0.027283981183461252,0.05007874225960598
8,random,0.010398613518197573,0.00024758603614756096
9,random,0.010349096310968062,9.903441445902466e-05
10,random,0.010200544689279525,0.000148551621688537
11,random,0.010027234463976232,0.00012379301807378083
12,random,0.009952958653131963,9.903441445902466e-05
13,random,0.010002475860361477,0.0001212918911999595
14,random,0.009928200049517208,7.42758108442685e-05
15,random,0.009952958653131965,9.903441445902466e-05
16,random,0.009903441445902451,0.0
17,random,0.009928200049517208,7.42758108442685e-05
18,random,0.009903441445902451,0.0
19,random,0.009903441445902451,0.0
20,random,0.009903441445902451,0.0
21,random,0.009903441445902451,0.0
22,random,0.009903441445902451,0.0
23,random,0.009903441445902451,0.0
24,random,0.009903441445902451,0.0
25,random,0.009903441445902451,0.0
26,random,0.009903441445902451,0.0
27,random,0.009903441445902451,0.0
28,random,0.009903441445902451,0.0
29,random,0.009903441445902451,0.0
1,high_degree,1.0,0.0
2,high_degree,0.9155731616736815,1.1102230246251565e-16
3,high_degree,0.6764050507551376,1.1102230246251565e-16
4,high_degree,0.6553602376825947,0.0
5,high_degree,0.6437236939836594,0.0
6,high_degree,0.559296855657341,1.1102230246251565e-16
7,high_degree,0.4439217628125774,0.0
8,high_degree,0.4179252290170835,5.551115123125783e-17
9,high_degree,0.3958900717999505,0.0
10,high_degree,0.36692250557068584,5.551115123125783e-17
11,high_degree,0.3619707848477346,0.0
12,high_degree,0.2131715771230503,2.7755575615628914e-17
13,high_degree,0.21069571676157467,2.7755575615628914e-17
14,high_degree,0.20772468432780392,0.0
15,high_degree,0.06362961128992325,0.0
16,high_degree,0.06313443921762811,1.3877787807814457e-17
17,high_degree,0.06313443921762811,1.3877787807814457e-17
18,high_degree,0.06288685318148056,0.0
19,high_degree,0.06288685318148056,0.0
20,high_degree,0.06288685318148056,0.0
21,high_degree,0.009903441445902451,0.0
22,high_degree,0.009903441445902451,0.0
23,high_degree,0.009903441445902451,0.0
24,high_degree,0.009903441445902451,0.0
25,high_degree,0.009903441445902451,0.0
26,high_degree,0.009903441445902451,0.0
27,high_degree,0.009903441445902451,0.0
28,high_degree,0.009903441445902451,0.0
29,high_degree,0.009903441445902451,0.0
1,high_kcore,1.0,0.0
2,high_kcore,0.9155731616736815,1.1102230246251565e-16
3,high_kcore,0.67615746471899,1.1102230246251565e-16
4,high_kcore,0.17801435999009657,0.0
5,high_kcore,0.17479574152017824,2.7755575615628914e-17
6,high_kcore,0.17306263926714532,0.0
7,high_kcore,0.1691012626887844,2.7755575615628914e-17
8,high_kcore,0.16365436989353802,0.0
9,high_kcore,0.16241643971280023,2.7755575615628914e-17
10,high_kcore,0.14161921267640504,0.0
11,high_kcore,0.14013369645951967,0.0
12,high_kcore,0.12329784600148552,0.0
13,high_kcore,0.05942064867541471,0.0
14,high_kcore,0.05917306263926715,6.938893903907228e-18
15,high_kcore,0.05867789056697202,0.0
16,high_kcore,0.0581827184946769,0.0
17,high_kcore,0.0581827184946769,0.0
18,high_kcore,0.05793513245852934,0.0
19,high_kcore,0.05793513245852934,0.0
20,high_kcore,0.05768754642238179,1.3877787807814457e-17
21,high_kcore,0.05743996038623421,6.938893903907228e-18
22,high_kcore,0.056697202277791535,0.0
23,high_kcore,0.056697202277791535,0.0
24,high_kcore,0.05644961624164398,6.938893903907228e-18
25,high_kcore,0.05644961624164398,6.938893903907228e-18
26,high_kcore,0.05644961624164398,6.938893903907228e-18
27,high_kcore,0.055211686060906165,0.0
28,high_kcore,0.055211686060906165,0.0
29,high_kcore,0.054964100024758614,6.938893903907228e-18
